variant_full_sku,variant_name,platform,external_ref_id,listed_name
00031-P-15,Bose Wave Music System - Ribbon Cable,EBAY_DRAGON,267454069725,Ribbon Cable for Bose Wave Music System AWRCC1 AWRCC2 269889-001
00031-P-15,Bose Wave Music System - Ribbon Cable,ECWID,01203,Ribbon Cable for Bose Wave Music System AWRCC1 AWRCC2 269889-001
00031-P-16,Bose Wave Music System - Backlit Remote Control,EBAY_MEKONG,155873305520,Bose  Premium Backlit Remote control for Bose wave Multi CD Changer
00031-P-16,Bose Wave Music System - Backlit Remote Control,EBAY_USAV,364115515605,Genuine Bose Remote Control for Bose Wave Music System  AWRCC1 AWRCC2
00031-P-16,Bose Wave Music System - Backlit Remote Control,ECWID,04903,Bose Premium Backlit Remote control for Bose Wave Music System Multi-CD Changer
00031-P-17,Bose Wave Music System - Soundlink Adapter Upgrade Kit,EBAY_USAV,364820737615,Bose Wave Music II AWRCC1 AWRCC2  Upgrade Kit for Bose Wave Soundlink Adapter
00031-P-17,Bose Wave Music System - Soundlink Adapter Upgrade Kit,EBAY_DRAGON,257184511614,Bose Wave Music II AWRCC1 AWRCC2 Upgrade Kit for Bose Wave Soundlink Adapter
00031-P-17,Bose Wave Music System - Soundlink Adapter Upgrade Kit,ECWID,04740,Bose Wave Music II AWRCC1 AWRCC2 Upgrade Kit for Bose Wave Soundlink Adapter
00031-P-18,Bose Wave Music System - Multi CD Changer Owners User Manual Guide,EBAY_USAV,364188814994,Bose Wave Music System Multi CD Changer - Owners User Manual Guide
00031-P-19-BK,Bose Wave Music System - Multi CD Changer Link 9 Pin Cable Black,EBAY_USAV,363545670084,"Bose Wave Music System Multi-CD Changer Accessory Bose Link 9 Pin Cable, black"
00031-P-19-WH,Bose Wave Music System - Multi CD Changer Link 9 Pin Cable White,EBAY_USAV,363545671684,"Bose Wave Music System Multi-CD Changer Accessory Bose Link 9 Pin Cable, white"
